City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
69,Wenling,CN,28.3669,121.36,61.92,83,100,7.92,light rain
70,Cape Town,ZA,-33.9258,18.4232,63.27,60,59,3.0,broken clouds
71,Kavieng,PG,-2.5744,150.7967,82.13,77,70,15.86,broken clouds
72,Vaini,TO,-21.2,-175.2,69.96,88,75,10.36,broken clouds
73,Barrow,US,71.2906,-156.7887,30.22,86,90,13.8,overcast clouds
74,Iracoubo,GF,5.4802,-53.2011,82.53,82,97,9.44,moderate rain
75,San Vicente,AR,-26.6167,-54.1333,61.29,99,100,5.91,moderate rain
76,Gernsbach,DE,48.7667,8.3333,52.36,71,0,6.91,clear sky
77,Saint-Philippe,RE,-21.3585,55.7679,76.59,81,79,11.99,broken clouds
78,Lakhdenpokhya,RU,61.5198,30.1992,34.83,84,99,11.07,overcast clouds
79,Fenyi,CN,27.8112,114.6681,52.07,87,28,2.13,light rain
80,Castro,BR,-24.7911,-50.0119,76.15,44,87,9.73,overcast clouds
81,Esperance,AU,-33.8667,121.9,53.15,70,1,17.9,clear sky
82,Carnarvon,AU,-24.8667,113.6333,69.87,73,0,13.8,clear sky
83,New Norfolk,AU,-42.7826,147.0587,51.66,82,100,7.0,overcast clouds
84,Shumskiy,RU,54.8318,99.1328,33.37,93,77,3.31,broken clouds
85,Ulladulla,AU,-35.35,150.4667,60.76,89,97,12.44,overcast clouds
86,Forbes,AU,-33.3833,148.0167,47.84,91,0,6.17,clear sky
87,Opuwo,NA,-18.0607,13.84,83.57,9,4,15.43,clear sky
88,Upernavik,GL,72.7868,-56.1549,18.73,81,75,4.59,broken clouds
89,Igarka,RU,67.4667,86.5833,29.55,96,99,11.48,light snow
90,Imbituba,BR,-28.24,-48.6703,74.82,57,30,18.77,scattered clouds
91,Itaituba,BR,-4.2761,-55.9836,89.76,66,40,5.75,scattered clouds
92,Kamenka,RU,51.3223,42.7678,53.83,70,100,14.58,overcast clouds
93,Saskylakh,RU,71.9167,114.0833,6.89,95,100,15.28,light snow
94,Veraval,IN,20.9,70.3667,79.12,65,1,9.01,clear sky
95,Oranjemund,NA,-28.55,16.4333,59.61,75,11,13.78,few clouds
96,Bereda,ES,43.2686,-7.5406,61.57,75,100,2.26,overcast clouds
97,Praia,CV,14.9215,-23.5087,86.54,51,0,16.11,clear sky
98,Georgetown,MY,5.4112,100.3354,80.89,89,20,4.61,light rain
99,Dalvik,IS,65.9702,-18.5286,42.33,98,100,4.52,overcast clouds
100,Faanui,PF,-16.4833,-151.75,77.14,75,87,3.24,overcast clouds
101,Magnitka,RU,55.3475,59.6961,43.79,85,20,8.79,few clouds
102,Galle,LK,6.0367,80.217,80.64,76,17,8.12,few clouds
103,Berdigestyakh,RU,62.0989,126.6992,30.65,98,100,4.59,light snow
104,Eureka,US,40.8021,-124.1637,56.25,69,100,8.99,light rain
105,Lata,PT,40.1629,-8.3327,68.92,45,99,3.44,overcast clouds
106,Affery,CI,6.315,-3.9603,77.74,94,70,3.42,moderate rain
107,Rakaia,NZ,-43.75,172.0167,53.76,49,100,3.0,overcast clouds
108,Beringovskiy,RU,63.05,179.3167,10.94,77,29,10.69,scattered clouds
109,Khovu-Aksy,RU,51.1333,93.6,28.11,81,6,3.09,clear sky
110,Avarua,CK,-21.2078,-159.775,69.85,64,95,5.75,light rain
111,Kungurtug,RU,50.5994,97.5228,29.39,64,81,1.54,broken clouds
112,Valdemarpils,LV,57.3707,22.5919,44.02,73,99,12.21,overcast clouds
113,Mahebourg,MU,-20.4081,57.7,75.25,79,10,11.23,clear sky
114,Mabaruma,GY,8.2,-59.7833,78.58,95,96,6.04,overcast clouds
115,Verkhnevilyuysk,RU,63.4453,120.3167,37.33,90,100,11.07,overcast clouds
116,Lakselv,NO,70.0513,24.9718,30.02,64,75,6.91,broken clouds
117,Mugur-Aksy,RU,50.35,90.5,16.54,77,19,7.07,few clouds
118,Lewistown,US,40.5992,-77.5714,56.89,93,90,5.75,overcast clouds
119,Whitehorse,CA,60.7161,-135.0538,35.31,74,99,15.99,overcast clouds
120,Palmer,US,42.1584,-72.3287,58.91,56,20,1.01,few clouds
121,Kokopo,PG,-4.352,152.2633,77.29,84,44,8.08,scattered clouds
122,Hue,VN,16.4667,107.6,69.91,94,75,4.61,broken clouds
123,Seoul,KR,37.5683,126.9778,45.84,93,0,3.44,clear sky
124,Labuan,MY,5.2767,115.2417,79.16,89,20,3.44,few clouds
125,Tazovskiy,RU,67.4667,78.7,27.91,97,97,10.65,overcast clouds
126,Ponta Do Sol,PT,32.6667,-17.1,73.71,66,26,5.12,scattered clouds
127,Codrington,AU,-38.2667,141.9667,49.44,86,17,12.64,few clouds
128,Kuytun,RU,54.3419,101.5036,33.03,81,100,3.91,overcast clouds
129,Broome,US,42.2506,-75.833,50.7,73,90,1.01,light rain
130,Fairbanks,US,64.8378,-147.7164,27.61,90,1,0.0,clear sky
131,Saint Anthony,US,45.0205,-93.218,48.92,57,1,3.0,clear sky
132,Petropavl,KZ,54.8753,69.1628,48.72,73,73,17.6,broken clouds
133,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,73,53,6.24,broken clouds
134,Mar Del Plata,AR,-38.0023,-57.5575,68.02,64,40,7.0,scattered clouds
135,Brigantine,US,39.4101,-74.3646,66.02,73,75,4.61,broken clouds
136,Sawtell,AU,-30.3833,153.1,68.18,94,0,6.91,clear sky
